Date,Content,Type/Lecturer,Lecturer,Deliverables
"April 28, 2023",https://youtu.be/95IE3oETJJ0,Other,Dr. Phúc,https://drive.google.com/drive/folders/1Iqo7pi_szHLBKeXrhfFzw7yGqepWQyEZ?usp=share_link
"May 1, 2023",https://drive.google.com/file/d/1fYfp7Audr5SJ06ys5pMy0qBcGBb7yabu/view,Assignment,TA Khoa,https://drive.google.com/file/d/1DBsc9NKhOOaFHWNM9z4ubx-mzPqa2non/view
"May 3, 2023",https://youtu.be/tKws9MOQ89Y,Main Lesson,Dr. Vinh,https://drive.google.com/drive/folders/1TkNDyVgDn7YPv-3rN6Nn29nrKuyqgwVG?usp=share_link
"May 5, 2023",https://youtu.be/tKws9MOQ89Y,Main Lesson,Dr. Vinh,https://drive.google.com/drive/folders/1vBQmnfQZpmHeoH452sAR4GBRQ_gCpzSj?usp=share_link
"May 6, 2023",https://youtu.be/i97kAPZtq4A,Extra Class,TA Thái,https://drive.google.com/drive/folders/1yof63zCXcoyIIZWvU2CQ4cYWOPIGeT-H
"May 7, 2023",https://youtu.be/Aq48Nf6lCVY,Exercise Session,TA Khoa,https://drive.google.com/drive/folders/1uJ_vQzgES883zxJw9xE1az8lijmLrR94
"May 8, 2023",https://drive.google.com/file/d/1eD1lWax1ObqSdo5IcSNC_-LVGeN62OWP/view,Assignment,Dr. Vinh,https://drive.google.com/file/d/15kJD81E1R5ndm0ZJYlsFeKZVnybplRDO/viewhttps://drive.google.com/file/d/15kJD81E1R5ndm0ZJYlsFeKZVnybplRDO/view
"May 8, 2023",https://youtu.be/UoYSU7ypz4g,Other,Dr. Vinh,
"May 10, 2023",https://youtu.be/TK42WCKiiDw,Main Lesson,Dr. Dinh Vinh,https://drive.google.com/drive/folders/1I-YUV6K7DQIWeVZr1v7icsoP-I3BuVlu
"May 11, 2023",https://youtu.be/BtAIW83TCvc,Competition,TA Hùng,https://drive.google.com/drive/folders/1p1s-HXHjuwZyRDyWhZqkDiIkeAa93Rlq
"May 12, 2023",https://youtu.be/BUueswpSwVc,Main Lesson,Dr. Dinh Vinh,https://drive.google.com/drive/folders/1CYPfh30f0nQLxbHiPl-jxtNHfLkrHc5x
"May 13, 2023",https://youtu.be/4J3D5it9ugA,Extra Class,TA Thái,https://drive.google.com/drive/folders/1deNcaXHYAbE5A3cgKKv1z7wUAdLmfcC6
"May 14, 2023",https://youtu.be/NsB9PjZR6G0,Exercise Session,Dr. Vinh,https://drive.google.com/drive/folders/1-VeGlYUVMaBH3Ee98UekJHqZc3TKdLXM?usp=share_link
"May 17, 2023",https://youtu.be/xdvi9Dzr6Qw,Main Lesson,Dr. Dinh Vinh,https://drive.google.com/drive/folders/1BB5CjrmLIOcTahQg7eGO2g6UIvrigPqK
"May 18, 2023",https://youtu.be/98JL_UFpxlQ,Competition,TA Hùng,https://drive.google.com/drive/folders/1TZvYRpntsLQdYhKieewtItkAo3YhfBbp
"May 19, 2023",https://youtu.be/8oDDxWeiL8A,Main Lesson,Dr. Dinh Vinh,https://drive.google.com/drive/folders/1nunyJYSXD_9k1ybzvl_fmQbxfnoRhX_K
"May 20, 2023",https://youtu.be/dOrQveeQz90,Extra Class,TA Thái,https://drive.google.com/drive/folders/1EmyHR-SB0L1Lw5OYUQw770iLfuKB1JxZ
"May 21, 2023",https://youtu.be/RGPQgXzOqhg,Extra Class,Dr. Vinh,https://drive.google.com/drive/folders/1gUZqdRAeIyqN-em8-1l0zjHKCZVIzOvT
"May 22, 2023",https://drive.google.com/file/d/1bzM445pd7SMjgFgwA7hzjrjgT6Y3nmWL/view,Project Proposal,TA Thắng,https://drive.google.com/file/d/1bEAONvHpShFyB-LfmBSSzBsLNiWXdX-H/view
"May 22, 2023",https://drive.google.com/file/d/1I8WKELOqHDDFxrhSkaoAoYN1eTxlbzqn/view,Project Proposal,TA Thắng,https://drive.google.com/file/d/1ryoNAvV8TsZAn_PX-2PPf780zswEqGKE/view
"May 22, 2023",https://drive.google.com/file/d/1h4gQH9UeItUf6UPNoRTL-nmda0fxFD3D/view,Project Proposal,TA Thái,https://drive.google.com/file/d/1wDuqMjj_2d3od7hkoYa2dEd9hpXc3AC2/view
"May 23, 2023",https://youtu.be/_WkMMGINOVA,Extra Class,TA Tiềm,https://drive.google.com/drive/folders/1mEwkeD_DAaDMoBVY44zjhl4B15snHTcd?usp=share_link
"May 24, 2023",https://youtu.be/L6Sin-ieEfM,Project Tutorial,TA Thắng,https://drive.google.com/drive/folders/1ddidsMv8ISUrKzUViUtxnjpHwJXr6bv-?usp=share_link
"May 25, 2023",https://youtu.be/TyVCXo45c1Y,Competition,TA Hùng,https://drive.google.com/drive/folders/1WnLoiazazGWNxKtmt9IjH0ppAikqtLpk
"May 26, 2023",https://youtu.be/LRiMeQdzDPA,Project Tutorial,TA Thắng,https://drive.google.com/drive/folders/11ikSSLi_Hjmt3EHlSWadFohowyxD_44U?usp=share_link
"May 27, 2023",https://youtu.be/38gV3ggD0Pg,Extra Class,TA Thái,https://drive.google.com/drive/folders/1aEtoJ-i6WbrmA7_-xDXIIhcpjMBzvFch?usp=share_link
"May 28, 2023",https://youtu.be/i-fXB0CFOMY,Project Tutorial,TA Thái,https://drive.google.com/drive/folders/13LVFM_r7ipY-umR6b_-yAs4NiEPIWv37?usp=share_link
